uid,label,unit,description,private
temp_water,Temperature (Water),°C,"Extremes of temperature, especially excess heat, are harmful to aquatic life and can lead to fish kills and other negative consequences. Because natural vegetation along the stream bank (riparian area) has been altered, many Iowa streams do not have shady areas and suffer from heat stress.",f
turbi_var,Turbidity (Variance),NTU,,t
turbi_min,Turbidity (Min),NTU,,t
turbi_med,Turbidity (Median),NTU,,t
turbi_max,Turbidity (Max),NTU,,t
turbi_bes,Turbidity (BES),NTU,,t
stage,Stage,m,The stage refers to the water level in a river or stream with respect to a chosen reference height (see level),t
load,N Load,lb/day,"The amount of a pollutant independent of water volume is the load. For a river, the pollutant load is the total mass of that pollutant that passes a defined point (bridge, flow gauge, river mouth, etc.) in a defined period of time (usually day, month, or year). Loads are calculated from the pollutant concentration and the river discharge volume. Loads are reported as English tons in the IWQIS system. All things being equal, a large watershed will produce a larger pollutant load than a small watershed.",f
nitrate_con,Nitrate + Nitrite as N,mg/L,"Nitrate- and Nitrite-Nitrogen are ionic compounds of nitrogen and oxygen. These are common contaminants of drinking water and affect the health of lakes and streams. Many nitrogen compounds naturally exist in lakes, streams and groundwater, including nitrate and nitrite. Nitrate is a negative ion consisting of one nitrogen atom and three oxygen atoms. It is an essential plant nutrient. Because it is a relatively stable form of nitrogen, and because it is very water soluble, it is the most common form of nitrogen entering the stream network from farmed fields. It is also present in municipal wastewater discharge, leakage from septic tanks, and runoff from manure. Nitrate and nitrite (one nitrogen with two oxygen atoms) in drinking water pose an acute health risk for infants less than 6 months of age. The infant’s digestive system has not developed a mature assemblage of microorganisms, and as a result, nitrate and nitrite compete with hemoglobin for oxygen in the bloodstream, causing blue-baby syndrome. Drinking water nitrate and nitrite are measured “as nitrogen” in the U.S., with a limit set at 10 parts per million (mg/L) for nitrate-nitrogen and 1 mg/L for nitrite-nitrogen. Elevated nitrate in streams and lakes can upset the natural balance, leading to harmful algae blooms and poor diversity of organisms. Prior to European settlement, nitrate-nitrogen levels in Iowa streams were likely less than 2 mg/L. Nitrite usually is not stable in the environment, especially in streams, where it is quickly converted to nitrate.",f
diss_oxy_con,Dissolved Oxygen,mg/L,"Dissolved oxygen (DO) is needed by fish and other aquatic life. Decomposition of organic material from wastewater discharges or manure consumes dissolved oxygen (DO). Ammonia and nitrite-nitrogen also consume oxygen. Algae blooms affect DO levels, giving off oxygen in the day but consuming it at night. When DO drops below 4-5 parts per million, fish begin to die. Fish like carp and bullhead can tolerate much lower DO levels than desirable species like smallmouth bass and walleye.",f
ph,pH,,"pH is the measure of acidity or alkalinity in the water. A pH of 7 is exactly neutral; lower than 7 is acid, higher than 7 is basic (alkaline). Most Iowa waters are slightly to moderately alkaline (7.5-8.5) in their natural condition. pH tends to be slightly higher in the summer. In a lake or stream plagued by algae, pH levels can vary greatly between daytime and nighttime. This stresses the other organisms.",f
spec_cond,Specific Conductance,µS/cm,"Specific Conductance (SC) is created by the positive and negative ions of dissolved salts. Ions enable water to conduct electricity. Water with high SC is salty and harmful to freshwater organisms. SC greater than about 1000 microsiemens (µS) would likely be stressful to aquatic life. Excess SC can be caused by stormwater runoff (road salts), wastewater discharges, and manure runoff.",f
discharge,Discharge,cfs,"Discharge is the volume rate of water flow, including any suspended solids (e.g. sediment), dissolved chemicals (e.g. CaCO3(aq)), or biologic material (e.g. diatoms), which is transported through a given cross-sectional area.[1] Frequently, other terms synonymous with discharge are used to describe the volumetric flow rate of water and are typically discipline dependent. For example, a fluvial hydrologist studying natural river systems may define discharge as streamflow, whereas an engineer operating a reservoir system might define discharge as outflow, which is contrasted with inflow.",f
diss_oxy_sat,Dissolved Oxygen Sat,%,"Dissolved oxygen percent saturation indicates how much oxygen is in the water relative to what the water could hold at that temperature. The amount of oxygen that water can hold is temperature dependent. Cold water can hold much more oxygen than warm water. Water can be so warm that it is 100% saturated with oxygen, but cannot sustain aquatic life because absolute levels of oxygen are still too low. Percent saturation can exceed 100% if algae are producing oxygen so fast that it cannot “off-gas” to the atmosphere, or if the temperature of a stream or lake changes very rapidly. These conditions impart stress to aquatic life.",t
chloro_con,Chlorophyll-A,µg/L,"Chlorophyll-A is a specific type of chlorophyll used in photosynthesis and an indicator of harmful algae blooms. Less than 25 micrograms per liter (ug/L) is desirable, although some water bodies like wetlands could be expected to have far higher naturally-occurring levels.",t
chloro_v,Chlorophyll-A,v,"Chlorophyll-A is a specific type of chlorophyll used in photosynthesis and an indicator of harmful algae blooms. Less than 25 micrograms per liter (ug/L) is desirable, although some water bodies like wetlands could be expected to have far higher naturally-occurring levels.",t
turbi_mean,Turbidity,NTU,"Soil particles obstruct the transmittance of light through water and impart a property known as turbidity. Turbid water is cloudy water. Turbidity is measured in Nephelometric Turbidity Units (NTUs). Clear water like drinking water has a turbidity less than 1 NTU. Muddy floodwaters can have turbidity greater than 1000. A few rivers are naturally muddy. The Missouri River, for example, was very muddy prior to dam construction and channelization, and its aquatic life was adapted to that condition. Most Iowa streams, however, likely ran clear (less than 10 NTU) before the prairie was broken. Excess cloudiness reduces diversity of fish and other organisms in our lakes and streams.",f
yield,N Yield,lb/acre/day,"The yield of a pollutant is the load normalized to watershed area. As such, it is reported in IWQIS as tons per watershed acre. Because yield is normalized to area, it is a good way to compare pollutant loss between watersheds, even if their watershed areas vary in magnitude.",f
m_exc,Measurement exctinction,,,t
r_exc,Reference Exctinction,,,t
phosphate_con,Orthophosphate as PO4-P,mg/L,"Orthophosphate is the simplest in a series of phosphates, and is usually just called phosphate by both non-technical people and many chemists alike; see a separate article on phosphate for details.",f
p_yield,PO4-P Yield,lb/acre/day,"The yield of a pollutant is the load normalized to watershed area. As such, it is reported in IWQIS as tons per watershed acre. Because yield is normalized to area, it is a good way to compare pollutant loss between watersheds, even if their watershed areas vary in magnitude.",f
p_load,PO4-P Load,lb/day,"The amount of a pollutant independent of water volume is the load. For a river, the pollutant load is the total mass of that pollutant that passes a defined point (bridge, flow gauge, river mouth, etc.) in a defined period of time (usually day, month, or year). Loads are calculated from the pollutant concentration and the river discharge volume. Loads are reported as English tons in the IWQIS system. All things being equal, a large watershed will produce a larger pollutant load than a small watershed.",f
discharge_est,Discharge (estimated),cfs,Value of discharge for a specific ungauged location that was observed at a nearby point.,f
nitrate_con_int,Nitrate + Nitrite as N (Intermittent),mg/L,"Nitrate- and Nitrite-Nitrogen measured by volunteer citizens using technologies such as smartphone-based apps. Each individual measurement is named in the platform as a Collection Point, while the clustering of multiples measurements receives the title of Cluster Site. Such automatic grouping process allows the estimation of a timeseries for an fixed location of interest.",f
